Trial,totalTime_evac_old,totalTime_new,totalTime_old,totalTime_resp_old
606,22,32,41,19
607,21,33,44,23
608,13,20,28,15
609,20,27,35,15
610,30,35,45,15
611,16,27,35,19
612,23,30,39,16
613,26,34,42,16
614,17,27,36,19
615,27,33,42,15
616,17,25,35,18
617,12,24,32,20
618,27,35,45,18
619,25,32,43,18
620,19,26,37,18
621,15,22,31,16
622,12,15,23,11
623,14,22,30,16
624,18,25,34,16
625,14,21,30,16
626,18,26,36,18
627,19,29,37,18
628,18,27,36,18
629,16,23,32,16
630,11,15,23,12
631,16,30,39,23
632,14,21,30,16
633,19,28,38,19
634,13,20,29,16
635,20,25,35,15
636,15,23,32,17
637,17,23,32,15
638,15,22,31,16
639,21,29,40,19
640,26,30,41,15
641,25,30,40,15
642,24,35,45,21
643,16,23,31,15
644,14,24,33,19
645,17,23,33,16
646,17,25,33,16
647,16,24,32,16
648,16,24,32,16
649,15,22,32,17
650,10,15,23,13
651,17,25,32,15
652,21,32,40,19
653,19,26,35,16
654,13,25,35,22
655,18,24,36,18
656,20,23,32,12
657,19,28,37,18
658,17,27,39,22
659,15,24,34,19
660,14,26,36,22
661,24,30,40,16
662,28,31,42,14
663,24,31,41,17
664,22,31,41,19
665,15,23,34,19
666,18,26,36,18
667,23,30,39,16
668,19,29,39,20
669,12,25,33,21
670,19,29,39,20
671,20,32,42,22
672,15,23,32,17
673,17,22,31,14
674,13,21,30,17
675,19,30,40,21
676,19,25,35,16
677,13,19,29,16
678,16,23,32,16
679,13,21,28,15
680,10,19,26,16
681,23,32,42,19
682,15,25,33,18
683,21,26,36,15
684,25,31,41,16
685,19,24,33,14
686,15,26,35,20
687,14,21,30,16
688,20,32,41,21
689,18,25,33,15
690,12,21,31,19
691,14,23,31,17
692,21,27,36,15
693,13,22,29,16
694,22,29,40,18
695,14,22,29,15
696,11,20,29,18
697,19,28,38,19
698,12,19,29,17
699,23,28,39,16
700,19,28,38,19
701,15,24,32,17
702,14,22,32,18
703,16,28,38,22
704,21,26,38,17
705,12,18,27,15
706,19,26,37,18
707,15,21,31,16
708,16,23,33,17
709,21,27,38,17
710,21,31,40,19
711,18,27,36,18
712,12,20,28,16
713,28,35,44,16
714,22,28,38,16
715,15,24,35,20
716,21,27,37,16
717,10,19,28,18
718,15,23,33,18
719,18,24,33,15
720,21,28,38,17
721,15,23,32,17
722,15,23,32,17
723,21,31,39,18
724,21,29,39,18
725,18,25,35,17
726,18,28,37,19
727,20,22,33,13
728,12,21,29,17
729,16,27,35,19
730,19,28,39,20
731,20,27,38,18
732,24,31,42,18
733,23,30,39,16
734,18,30,38,20
735,18,25,32,14
736,21,30,41,20
737,25,28,39,14
738,17,24,33,16
739,19,30,38,19
740,16,21,31,15
741,23,30,39,16
742,22,32,41,19
743,14,23,32,18
744,22,30,39,17
745,12,19,29,17
746,16,23,34,18
747,15,23,33,18
748,13,25,33,20
749,20,30,37,17
750,15,26,35,20
751,18,25,36,18
752,21,27,39,18
753,20,30,40,20
754,19,26,35,16
755,21,29,41,20
756,17,29,38,21
757,24,29,40,16
758,15,22,32,17
759,29,38,46,17
760,19,25,36,17
761,18,25,35,17
762,19,26,36,17
763,19,29,39,20
764,22,31,40,18
765,17,24,33,16
766,19,30,39,20
767,15,24,33,18
768,17,24,33,16
769,19,28,37,18
770,17,20,30,13
771,19,24,35,16
772,23,34,43,20
773,19,28,39,20
774,25,33,43,18
775,19,27,36,17
776,24,34,42,18
777,18,25,34,16
778,14,23,32,18
779,22,29,38,16
780,18,27,36,18
781,16,27,35,19
782,27,30,40,13
783,21,27,38,17
784,19,26,34,15
785,22,32,40,18
786,19,28,39,20
787,23,32,42,19
788,17,26,34,17
789,20,30,38,18
790,15,22,33,18
791,13,20,27,14
792,13,21,30,17
793,24,31,40,16
794,17,24,33,16
795,14,22,32,18
796,17,26,35,18
797,31,38,47,16
798,20,27,37,17
799,23,32,42,19
800,23,32,42,19
801,17,23,34,17
802,20,26,35,15
803,18,26,36,18
804,10,18,26,16
805,15,22,31,16
806,22,28,38,16
807,24,29,40,16
808,18,24,33,15
809,16,23,32,16
810,17,21,31,14
811,19,24,34,15
812,16,29,34,18
813,18,23,34,16
814,15,20,28,13
815,16,27,36,20
816,19,26,35,16
817,22,30,39,17
818,17,28,37,20
819,21,27,37,16
820,15,23,31,16
821,14,20,30,16
822,17,21,30,13
823,26,31,43,17
824,17,25,35,18
825,19,28,36,17
826,17,26,37,20
827,22,30,39,17
828,23,30,41,18
829,24,36,45,21
830,17,26,36,19
831,21,32,41,20
832,17,25,34,17
833,12,17,26,14
834,18,27,36,18
835,20,26,36,16
836,18,23,32,14
837,20,25,34,14
838,16,22,32,16
839,13,27,37,24
840,18,26,35,17
841,16,23,32,16
842,20,30,40,20
843,18,23,32,14
844,21,30,39,18
845,16,22,31,15
846,23,29,38,15
847,18,24,33,15
848,20,26,35,15
849,16,24,36,20
850,23,34,43,20
851,18,29,39,21
852,17,22,31,14
853,12,18,27,15
854,24,31,41,17
855,19,28,37,18
856,22,32,43,21
857,15,23,32,17
858,18,24,35,17
859,20,25,33,13
860,13,22,30,17
861,15,21,31,16
862,13,22,31,18
863,14,21,29,15
864,18,27,35,17
865,17,22,32,15
866,18,29,38,20
867,12,21,33,21
868,23,34,43,20
869,17,26,36,19
870,17,27,37,20
871,25,35,44,19
872,17,24,34,17
873,17,22,32,15
874,18,24,32,14
875,21,28,38,17
876,16,24,33,17
877,20,27,36,16
878,10,17,25,15
879,16,26,35,19
880,19,25,35,16
881,22,29,38,16
882,18,25,33,15
883,19,25,33,14
884,14,21,31,17
885,23,31,40,17
886,18,22,31,13
887,18,24,34,16
888,23,33,43,20
889,19,26,34,15
890,17,29,40,23
891,13,22,31,18
892,18,24,35,17
893,22,25,37,15
894,21,30,40,19
895,32,40,49,17
896,16,24,32,16
897,14,19,28,14
898,19,27,37,18
899,15,23,31,16
900,13,21,30,17
901,18,30,39,21
902,23,29,39,16
903,18,23,34,16
904,23,29,40,17
905,20,25,34,14
906,14,23,32,18
907,13,21,30,17
908,19,28,35,16
909,17,23,33,16
910,15,24,33,18
911,12,22,30,18
912,16,22,32,16
913,15,24,33,18
914,14,19,28,14
915,14,21,29,15
916,16,22,32,16
917,20,29,39,19
918,16,24,34,18
919,26,33,43,17
920,13,19,29,16
921,19,24,33,14
922,22,33,41,19
923,13,21,30,17
924,16,25,34,18
925,22,28,37,15
926,20,30,39,19
927,22,29,40,18
928,15,24,34,19
929,16,25,35,19
930,15,25,34,19
931,23,29,39,16
932,17,22,30,13
933,20,23,31,11
934,12,23,31,19
935,22,32,41,19
936,20,29,38,18
937,24,33,43,19
938,18,24,34,16
939,13,17,27,14
940,19,25,34,15
941,22,27,38,16
942,16,25,34,18
943,22,30,41,19
944,22,30,40,18
945,26,31,44,18
946,20,29,39,19
947,17,24,33,16
948,13,23,32,19
949,16,22,32,16
950,16,29,38,22
951,21,27,36,15
952,19,28,38,19
953,16,27,37,21
954,18,24,33,15
955,17,23,32,15
956,18,31,40,22
957,24,34,44,20
958,21,31,38,17
959,15,23,31,16
960,19,22,31,12
961,13,20,30,17
962,15,22,32,17
963,18,27,36,18
964,24,33,44,20
965,17,28,36,19
966,13,20,29,16
967,21,30,38,17
968,13,22,30,17
969,15,22,32,17
970,20,26,36,16
971,16,23,32,16
972,20,24,35,15
973,18,27,36,18
974,16,25,35,19
975,21,29,39,18
976,15,25,34,19
977,20,28,39,19
978,20,27,38,18
979,14,26,35,21
980,14,25,34,20
981,19,27,37,18
982,25,32,43,18
983,19,24,33,14
984,25,35,45,20
985,24,33,42,18
986,23,31,40,17
987,19,28,38,19
988,12,16,26,14
989,19,25,34,15
990,12,18,26,14
991,20,31,40,20
992,23,29,38,15
993,20,25,35,15
994,14,19,29,15
995,16,21,31,15
996,21,28,36,15
997,16,22,30,14
998,13,21,29,16
999,14,25,33,19
